alpha, r1, r2, max_err, wrong_ration, max_dist, match, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
(0.1, 192, 0, 0.29859401777298206, 0.1, 0.010316981088316357, 'MATCH', 0.9994375, 240000, 135, 238655, 1345, 0.8996282527881041, 0, 0.0)
(0.2, 192, 0, 0.15046025862001017, 0.05, 0.008265673071019386, 'MATCH', 0.9987916666666666, 240000, 290, 238538, 1462, 0.801641586867305, 0, 0.0)
(0.3, 192, 0, 0.11867035316884304, 0.1, 0.008992667980132707, 'MATCH', 0.9984666666666666, 240000, 368, 238599, 1401, 0.7373304782298358, 0, 0.0)
(0.4, 192, 0, 0.05323011671671374, 0.0, 0, 'MATCH', 0.9977125, 240000, 549, 238500, 1500, 0.634, 0, 0.0)
(0.1, 192, 1, 0.016500071430882446, 0.0, 0, 'MATCH', 0.976525, 240000, 5634, 97848, 142152, 0.9603663683943947, 961, 0.006760369182283753)
(0.2, 192, 1, 0.013776216859823776, 0.15, 0.0003539183968972459, 'MATCH', 0.9504375, 240000, 11895, 106424, 133576, 0.9109495717793615, 2283, 0.01709139366353237)
(0.3, 192, 1, 0.013161597955391735, 0.1, 0.0011472659802405638, 'MATCH', 0.9267666666666666, 240000, 17576, 112104, 127896, 0.8625758428723338, 3080, 0.024082066679176832)
(0.4, 192, 1, 0.01096126608975248, 0.05, 0.0013450116373810994, 'MATCH', 0.9181291666666667, 240000, 19649, 114185, 125815, 0.8438262528315383, 3306, 0.02627667607201049)
(0.1, 192, 2, 0.12163572459687466, 0.1, 0.004338784784766667, 'MATCH', 0.9972166666666666, 240000, 668, 231534, 8466, 0.9210961493030947, 6, 0.0007087172218284905)
(0.2, 192, 2, 0.06147189809740827, 0.0, 0, 'MATCH', 0.9970041666666667, 240000, 719, 234711, 5289, 0.8640574777840802, 13, 0.0024579315560597464)
(0.3, 192, 2, 0.04007210831574663, 0.0, 0, 'MATCH', 0.9968833333333333, 240000, 748, 235769, 4231, 0.8232096431103758, 38, 0.008981328291184117)
(0.4, 192, 2, 0.047943721273024376, 0.05, 0.0015905815258360767, 'MATCH', 0.9963708333333333, 240000, 871, 236208, 3792, 0.7703059071729957, 41, 0.010812236286919831)
(0.1, 192, 3, 0.013813944814275725, 0.0, 0, 'MATCH', 0.979675, 240000, 4878, 87132, 152868, 0.9680901169636549, 1028, 0.006724755998639349)
(0.2, 192, 3, 0.013764138035101958, 0.15, 0.00042792459982754494, 'MATCH', 0.9571708333333333, 240000, 10279, 93960, 146040, 0.9296151739249521, 2249, 0.015399890440975075)
(0.3, 192, 3, 0.010953726326059695, 0.15, 0.0006153937166833434, 'MATCH', 0.93235, 240000, 16236, 98505, 141495, 0.8852538958973816, 3477, 0.024573306477260682)
(0.4, 192, 3, 0.005516345842716819, 0.0, 0, 'MATCH', 0.9192333333333333, 240000, 19384, 98810, 141190, 0.862709823641901, 3465, 0.02454139811601388)
(0.1, 192, 4, 0.06370492139763984, 0.0, 0, 'MATCH', 0.9973166666666666, 240000, 644, 231306, 8694, 0.9259259259259259, 28, 0.00322061191626409)
(0.2, 192, 4, 0.047954244809681745, 0.0, 0, 'MATCH', 0.9967083333333333, 240000, 790, 234293, 5707, 0.861573506220431, 73, 0.012791308918871562)
(0.3, 192, 4, 0.050502236684163426, 0.0, 0, 'MATCH', 0.9963375, 240000, 879, 235351, 4649, 0.8109270810927081, 138, 0.0296838029683803)
(0.4, 192, 4, 0.055911781275103795, 0.1, 0.005058413135762052, 'MATCH', 0.9961833333333333, 240000, 916, 235887, 4113, 0.7772915147094578, 184, 0.04473620228543642)
(0.1, 192, 5, 0.013496476421471226, 0.0, 0, 'MATCH', 0.9714375, 240000, 6855, 112184, 127816, 0.9463682168116667, 259, 0.0020263503786693373)
(0.2, 192, 5, 0.014564516658139015, 0.1, 0.00047893320630584824, 'MATCH', 0.9466125, 240000, 12813, 111085, 128915, 0.9006089283636505, 763, 0.005918628553698173)
(0.3, 192, 5, 0.00729849811507625, 0.0, 0, 'MATCH', 0.9213291666666666, 240000, 18881, 108842, 131158, 0.8560438555025237, 1923, 0.014661705728968116)
(0.4, 192, 5, 0.009899443844205574, 0.1, 0.0010358705964115256, 'MATCH', 0.8927958333333333, 240000, 25729, 105169, 134831, 0.8091759313510988, 1777, 0.01317946169649413)
(0.1, 192, 6, 0.04831925761402553, 0.05, 0.0017067335460689004, 'MATCH', 0.9977916666666666, 240000, 530, 197227, 42773, 0.987609005681154, 5, 0.00011689617281930189)
(0.2, 192, 6, 0.02897653890110971, 0.05, 0.00047197266995036014, 'MATCH', 0.9954833333333334, 240000, 1084, 213010, 26990, 0.9598369766580215, 125, 0.004631344942571323)
(0.3, 192, 6, 0.02455115083781212, 0.05, 5.545671854401135e-06, 'MATCH', 0.9939208333333334, 240000, 1459, 221668, 18332, 0.9204123936286275, 287, 0.015655684049749072)
